date,id,ref
2025-07-02,6542,53.97
2025-07-02,6807,68.4
2025-07-02,6862,135.5
2025-07-02,6870,228.7
2025-07-02,6988,17.55
2025-07-02,8440,31.22
2025-07-02,8482,58.64
2025-07-02,8917,59.7
2025-07-02,8921,17.73
2025-07-02,9935,21.95
2025-07-02,9939,151.3
2025-07-03,1452,11.2
2025-07-03,1475,40.85
2025-07-03,1730,53.8
2025-07-03,1752,35.05
2025-07-03,1789,16.95
2025-07-03,1806,10.9
2025-07-03,1906,12.15
2025-07-03,2405,15.63
2025-07-03,2412,129.5
2025-07-03,2415,22.85
2025-07-03,2432,27.6
2025-07-03,2433,48
2025-07-03,2454,1269.99
2025-07-03,2464,57.75
2025-07-03,2474,208.17
2025-07-03,2534,24.05
2025-07-03,2727,228.9
2025-07-03,3046,46.65
2025-07-03,3090,75.2
2025-07-03,3189,82.99
2025-07-03,3217,152.19
2025-07-03,3311,31.15
2025-07-03,3479,94.5
2025-07-03,3490,20.15
2025-07-03,3570,205
2025-07-03,3591,17.46
2025-07-03,3592,344.8
2025-07-03,3708,70.35
2025-07-03,4126,90.6
2025-07-03,4137,111.5
2025-07-03,4413,19.35
2025-07-03,4417,44.6
2025-07-03,4906,24.59
2025-07-03,5213,29.14
2025-07-03,5236,125.91
2025-07-03,5353,25.5
2025-07-03,5490,26.5
2025-07-03,5515,25.15
2025-07-03,6185,14.95
2025-07-03,6213,86
2025-07-03,6219,21.55
2025-07-03,6270,21.3
2025-07-03,6470,47.6
2025-07-03,6523,132
2025-07-03,6526,535.5
2025-07-03,6569,114.54
2025-07-03,6690,173
2025-07-03,6751,42.45
2025-07-03,6776,58.1
2025-07-03,6803,285.26
2025-07-03,6811,236.5
2025-07-03,6844,95.4
2025-07-03,6957,166.33
2025-07-03,7556,162.67
2025-07-03,8021,45.54
2025-07-03,8045,64.93
2025-07-03,8046,113
2025-07-03,8064,38.7
2025-07-03,8284,66
2025-07-03,9904,33.35
2025-07-04,2231,68.52
2025-07-04,2947,89.18
2025-07-04,3704,27.5
2025-07-04,4102,22.15
2025-07-04,4155,16.55
2025-07-04,4772,222.5
2025-07-04,5015,34.35
2025-07-04,5347,99
2025-07-04,5536,404.5
2025-07-04,5864,11.99
2025-07-04,6113,25.4
2025-07-04,6115,49.8
2025-07-04,6136,23.2
2025-07-04,8072,46.7
2025-07-07,2373,57.3
2025-07-07,2417,36.39
2025-07-07,2904,17.6
2025-07-07,3310,78.11
2025-07-07,3512,23.95
2025-07-07,3551,160.1
2025-07-07,4120,55.4
2025-07-07,5706,57.47
2025-07-07,6233,20.44
2025-07-07,6237,38.65
2025-07-07,6515,1280
2025-07-07,6641,21.9
2025-07-07,6670,289.85
2025-07-07,6683,328.5
2025-07-07,7402,81
2025-07-07,8443,11.85
2025-07-07,8481,42.5
2025-07-07,9943,74.2
2025-07-08,1325,29.55
2025-07-08,1583,52.17
2025-07-08,2228,86.3
2025-07-08,2365,33.95
2025-07-08,2371,36.74
2025-07-08,2425,34.15
2025-07-08,2451,104.91
2025-07-08,2461,15.93
2025-07-08,2482,18.44
2025-07-08,2855,19.54
2025-07-08,3014,128
2025-07-08,3354,16.35
2025-07-08,3532,75.5
2025-07-08,4541,42.9
2025-07-08,5511,57.9
2025-07-08,5538,28.8
2025-07-08,6196,179.59
2025-07-08,6215,92.7
2025-07-08,6257,75.75
2025-07-08,6578,19.3
2025-07-08,6629,82.8
2025-07-08,6840,45.3
2025-07-08,8261,75.6
2025-07-08,8923,21.15
2025-07-09,1338,22.97
2025-07-09,1472,93.5
2025-07-09,1612,34.15
2025-07-09,1616,32.79
2025-07-09,2073,28.15
2025-07-09,2492,77.89
2025-07-09,2609,64.6
2025-07-09,2614,15.73
2025-07-09,2618,37.75
2025-07-09,2634,41.62
2025-07-09,2645,100
2025-07-09,2739,39
2025-07-09,2945,38.45
2025-07-09,3006,49.3
2025-07-09,3016,31
2025-07-09,3034,506
2025-07-09,3045,108.5
2025-07-09,3227,207
2025-07-09,3303,45.78
2025-07-09,3430,48.1
2025-07-09,4510,44.31
2025-07-09,4533,23.9
2025-07-09,4720,15.05
2025-07-09,4744,21.6
2025-07-09,4904,84.14
2025-07-09,5220,18.85
2025-07-09,5452,24.1
2025-07-09,5469,57.07
2025-07-09,6190,36.4
2025-07-09,6508,26.2
2025-07-09,6510,828.2
2025-07-09,6667,215.79
2025-07-09,6829,109
2025-07-09,6830,116
2025-07-09,6937,205.89
2025-07-09,8103,42.73
2025-07-09,8271,49.58
2025-07-09,8367,44.75
2025-07-09,8426,28.75
2025-07-09,9902,17.6
2025-07-09,9945,30.25
2025-07-10,1110,18.4
2025-07-10,1236,21.3
2025-07-10,1307,33.75
2025-07-10,1336,18.76
2025-07-10,1476,400.5
2025-07-10,1595,30.2
2025-07-10,1723,86.7
2025-07-10,2316,54.5
2025-07-10,2356,42.3
2025-07-10,2359,131.5
2025-07-10,2449,102
2025-07-10,2453,55.9
2025-07-10,2481,45.6
2025-07-10,2501,18.35
2025-07-10,2616,14.6
2025-07-10,2897,8.85
2025-07-10,3028,31.8
2025-07-10,3037,120.99
2025-07-10,3044,242.2
2025-07-10,3130,219.85
2025-07-10,3171,39.8
2025-07-10,3567,26.05
2025-07-10,3577,91.3
2025-07-10,3588,42.74
2025-07-10,3628,41.55
2025-07-10,3652,27.05
2025-07-10,4558,25.25
2025-07-10,4588,68.3
2025-07-10,4771,173.47
2025-07-10,4953,97.51
2025-07-10,4999,23.5
2025-07-10,5292,137.72
2025-07-10,5432,108
2025-07-10,5465,36.7
2025-07-10,6164,10.4
2025-07-10,6166,61.26
2025-07-10,6170,48.29
2025-07-10,6173,35.74
2025-07-10,6175,31.8
2025-07-10,6197,152
2025-07-10,6223,1048.99
2025-07-10,6278,109.5
2025-07-10,6409,1246.99
2025-07-10,6605,184
2025-07-10,6692,36.85
2025-07-10,6781,1027.5
2025-07-10,6865,59.72
2025-07-10,6899,48.57
2025-07-10,8083,152
2025-07-10,8147,106.51
2025-07-10,8222,47.35
2025-07-10,8905,29.8
2025-07-10,8942,44.5
2025-07-10,9905,21.95
2025-07-11,1734,31.55
2025-07-11,1907,22.7
2025-07-11,2008,23.85
2025-07-11,2027,32.22
2025-07-11,2605,20.95
2025-07-11,2731,152.5
2025-07-11,3055,64.6
2025-07-11,3114,22.9
2025-07-11,3221,17.8
2025-07-11,3467,59.68
2025-07-11,3581,35.85
2025-07-11,4114,32.91
2025-07-11,5244,46.2
2025-07-11,5371,53.9
2025-07-11,6944,472
2025-07-11,7584,65.1
2025-07-11,8499,218.93
2025-07-14,1531,12.2
2025-07-14,1609,36.69
2025-07-14,2013,42
2025-07-14,2355,30.65
2025-07-14,2891,41.54
2025-07-14,3013,122.9
2025-07-14,3081,344.5
2025-07-14,3260,89.58
2025-07-14,3305,56.24
2025-07-14,3564,63.81
2025-07-14,3607,14.15
2025-07-14,3645,56.7
2025-07-14,3673,30.1
2025-07-14,4167,18.59
2025-07-14,4414,12.03
2025-07-14,4556,25.4
2025-07-14,5215,36.15
2025-07-14,6624,34.6
2025-07-14,6735,45.71
2025-07-14,6763,61.6
2025-07-14,6790,41.05
2025-07-14,6843,58.3
2025-07-14,8183,25.4
2025-07-14,8442,77.19
2025-07-15,1264,310
2025-07-15,1294,70.37
2025-07-15,1301,35.2
2025-07-15,1402,30.75
2025-07-15,1470,20.49
2025-07-15,1540,28.3
2025-07-15,1608,25.85
2025-07-15,1614,38.51
2025-07-15,2029,22.9
2025-07-15,2034,20.3
2025-07-15,2235,42.3
2025-07-15,2348,94.5
2025-07-15,2547,11.72
2025-07-15,2633,27.45
2025-07-15,2849,13.42
2025-07-15,2852,26.2
2025-07-15,2906,14.85
2025-07-15,4711,14.55
2025-07-15,4754,39.45
2025-07-15,4763,80.4
2025-07-15,5904,481.19
2025-07-15,6486,73.33
2025-07-15,6556,68.9
2025-07-15,6906,127.67
2025-07-15,6928,47.6
2025-07-15,8110,12.7
2025-07-15,8374,90.75
2025-07-15,8383,39.7
2025-07-16,1220,13.35
2025-07-16,1233,30.25
2025-07-16,1256,115.8
2025-07-16,1440,12.85
2025-07-16,1726,74.9
2025-07-16,2221,26.95
2025-07-16,2536,28.6
2025-07-16,2610,21.05
2025-07-16,3024,12.95
2025-07-16,3060,20.1
2025-07-16,3406,396
2025-07-16,3492,22.5
2025-07-16,3617,264
2025-07-16,3624,30.97
2025-07-16,4536,177
2025-07-16,4721,68.14
2025-07-16,5471,30.65
2025-07-16,5508,112
2025-07-16,6405,24.85
2025-07-16,6485,51.6
2025-07-16,6488,304
2025-07-16,6904,117
2025-07-16,6933,169.5
2025-07-16,6936,37.16
2025-07-16,8182,26.4
2025-07-16,8255,115.31
2025-07-16,9930,70.1
2025-07-17,1102,37.8
2025-07-17,1109,15.75
2025-07-17,1227,31.3
2025-07-17,1522,42.1
2025-07-17,2049,203.6
2025-07-17,2204,53.4
2025-07-17,2211,77
2025-07-17,2248,44.76
2025-07-17,2395,329.1
2025-07-17,2404,697
2025-07-17,2704,42.15
2025-07-17,2722,30.1
2025-07-17,2915,50.7
2025-07-17,3022,75.6
2025-07-17,3031,17.3
2025-07-17,3071,17.69
2025-07-17,3293,788
2025-07-17,3323,33
2025-07-17,3380,26.85
2025-07-17,3426,41
2025-07-17,3438,46.25
2025-07-17,3489,20.5
2025-07-17,3653,1470.5
2025-07-17,3665,862.96
2025-07-17,3687,77.24
2025-07-17,4190,35.3
2025-07-17,4543,26.7
2025-07-17,4576,111.3
2025-07-17,4749,608.01
2025-07-17,4931,96.4
2025-07-17,5514,17.79
2025-07-17,6112,55.4
2025-07-17,6120,10.3
